,Nombre,Últ.,% Dif.,Máx.,Mín., Volumen,Efectivo (miles €),Fecha,Hora
0,ACCIONA,"127,4000","-0,78","129,8000","126,3000",142.468,"18.211,96",21/06/2021,17:35:11
1,ACERINOX,"9,6880","-0,47","9,8900","9,5500",4.856.585,"47.370,40",21/06/2021,17:35:11
2,ACS,"24,3400","-0,25","24,8700","24,1900",926.967,"22.657,56",21/06/2021,17:35:11
3,AENA,"143,0000","0,56","143,0000","139,5500",120.786,"17.192,91",21/06/2021,17:35:11
4,ALMIRALL,"14,4600","-0,41","14,5900","14,3000",308.957,"4.461,78",21/06/2021,17:35:11
5,AMADEUS,"62,9800","-0,10","63,3800","61,3200",1.586.226,"99.413,36",21/06/2021,17:35:11
6,ARCELORMIT.,"24,3050","1,36","24,6350","22,8250",753.485,"17.985,52",21/06/2021,17:35:11
7,B.SANTANDER,"3,2800","-0,26","3,2950","3,2115",49.066.696,"160.070,16",21/06/2021,17:35:11
8,BA.SABADELL,"0,5910","0,41","0,5910","0,5650",46.830.529,"27.269,79",21/06/2021,17:35:11
9,BANKINTER,"4,2060","-0,57","4,2200","4,1220",2.515.103,"10.519,57",21/06/2021,17:35:11
10,BBVA,"5,2380","0,31","5,2650","5,0900",23.520.257,"121.677,32",21/06/2021,17:35:11
11,CAIXABANK,"2,6150","0,93","2,6240","2,5410",17.564.768,"45.532,92",21/06/2021,17:35:11
12,CELLNEX,"53,0200","0,00","53,1600","52,3600",2.185.710,"115.781,71",21/06/2021,17:35:11
13,CIE AUTOMOT.,"25,0200","1,46","25,1800","24,4800",193.690,"4.830,12",21/06/2021,17:35:11
14,ENAGAS,"19,8100","0,00","19,8550","19,6800",638.825,"12.640,74",21/06/2021,17:35:11
15,ENDESA,"22,5900","0,58","22,6000","22,3600",5.581.572,"125.366,26",21/06/2021,17:35:11
16,FERROVIAL,"25,0800","0,68","25,1100","24,5600",2.379.338,"59.013,11",21/06/2021,17:35:11
17,FLUIDRA,"34,0500","0,89","34,0500","33,2000",325.012,"10.922,37",21/06/2021,17:35:11
18,GRIFOLS CL.A,"23,1100","-3,06","23,7500","22,9500",775.594,"18.011,61",21/06/2021,17:35:11
19,IAG,"2,3200","0,13","2,3250","2,2340",13.650.214,"31.161,89",21/06/2021,17:35:11
20,IBERDROLA,"10,8450","1,07","10,8650","10,6400",7.370.332,"79.707,93",21/06/2021,17:35:11
21,INDITEX,"30,6000","0,39","30,7000","30,1800",3.635.937,"110.786,83",21/06/2021,17:35:11
22,INDRA A,"7,5500","-1,31","7,5850","7,3650",665.377,"4.986,75",21/06/2021,17:35:11
23,INM.COLONIAL,"8,9050","0,39","8,9700","8,7250",833.956,"7.413,33",21/06/2021,17:35:11
24,MAPFRE,"1,8035","-0,44","1,8085","1,7670",3.315.529,"5.947,52",21/06/2021,17:35:11
25,MELIA HOTELS,"6,7680","-0,15","6,7880","6,5720",700.179,"4.707,16",21/06/2021,17:35:11
26,MERLIN,"9,1520","0,48","9,1880","8,9880",839.885,"7.665,77",21/06/2021,17:35:11
27,NATURGY,"21,8500","-0,23","21,9000","21,6900",624.083,"13.629,59",21/06/2021,17:35:11
28,PHARMA MAR,"73,1400","-5,46","77,0200","73,0800",129.344,"9.626,01",21/06/2021,17:35:11
29,R.E.C.,"17,0550","-0,84","17,2800","17,0200",5.867.558,"100.493,51",21/06/2021,17:35:11
30,REPSOL,"10,7680","0,26","10,8700","10,5700",12.988.155,"127.637,46",21/06/2021,17:35:11
31,SIEMENS GAME,"26,6100","0,83","26,7800","26,0200",1.184.232,"31.338,34",21/06/2021,17:35:11
32,SOLARIA,"15,7500","-0,41","15,9050","15,3700",1.212.889,"19.045,79",21/06/2021,17:35:11
33,TELEFONICA,"3,9820","0,40","4,0055","3,9205",9.966.450,"39.564,52",21/06/2021,17:35:11
34,VISCOFAN,"57,5000","0,88","57,5000","56,8500",62.787,"3.602,29",21/06/2021,17:35:11
